# 🚨
# 🚨 Source: https://wolfberg.net/what/TWLdefs.exe::TWLdefs.txt
# 🚨
	TWL98 (2006-04-15)
society societal societies	SOCIETY n pl. -ETIES an organized group of persons SOCIETAL adj
sock socking socked	SOCK v -ED, -ING, -S to strike forcefully
sock sox socks	SOCK n pl. SOCKS or SOX a knitted or woven covering for the foot
socket sockets socketing socketed	SOCKET v -ED, -ING, -S to furnish with a socket (an opening for receiving something)
sockeye sockeyes	SOCKEYE n pl. -S a food fish
sockless	SOCKLESS adj having no socks
sockman sockmen	SOCKMAN n pl. -MEN socman
socko	SOCKO adj strikingly impressive
socle socles	SOCLE n pl. -S a block used as a base for a column or pedestal
socman socmen	SOCMAN n pl. -MEN a socager
sod sods sodding sodded	SOD v SODDED, SODDING, SODS to cover with sod (turf)
soda sodaless sodas	SODA n pl. -S a type of chemical compound SODALESS adj
sodalist sodalists	SODALIST n pl. -S a member of a sodality
sodalite sodalites	SODALITE n pl. -S a mineral
sodality sodalities	SODALITY n pl. -TIES a society
sodamide sodamides	SODAMIDE n pl. -S a chemical compound
sodded	SODDED past tense of sod
sodden soddens soddening soddened	SODDEN v -ED, -ING, -S to make soggy
soddenly	SODDENLY adv in a soggy manner
sodding	SODDING present participle of sod
soddy soddies	SODDY n pl. -DIES a house built of sod
sodium sodic sodiums	SODIUM n pl. -S a metallic element SODIC adj
sodom sodoms	SODOM n pl. -S a place notorious for vice and corruption
sodomist sodomists	SODOMIST n pl. -S a sodomite
sodomite sodomites	SODOMITE n pl. -S one who practices sodomy
sodomize sodomizes sodomizing sodomized	SODOMIZE v -IZED, -IZING, -IZES to engage in sodomy with
sodomy sodomies	SODOMY n pl. -OMIES unnatural copulation
soever	SOEVER adv at all
sofa sofas	SOFA n pl. -S a long, upholstered seat
sofar sofars	SOFAR n pl. -S a system for locating underwater explosions
soffit soffits	SOFFIT n pl. -S the underside of an architectural structure
soft softest softer	SOFT adj SOFTER, SOFTEST yielding readily to pressure
soft softs	SOFT n pl. -S a soft object or part
softa softas	SOFTA n pl. -S a Muslim theological student
softback softbacks	SOFTBACK n pl. -S a book bound in a flexible paper cover
softball softballs	SOFTBALL n pl. -S a type of ball
soften softens softening softened	SOFTEN v -ED, -ING, -S to make soft
softener softeners	SOFTENER n pl. -S one that softens
softhead softheads	SOFTHEAD n pl. -S a foolish person
softie softies	SOFTIE n pl. -S softy
softies	SOFTIES pl. of softy
softish	SOFTISH adj somewhat soft
softly	SOFTLY adv in a soft manner
softness softnesses	SOFTNESS n pl. -ES the quality or state of being soft
software softwares	SOFTWARE n pl. -S written or printed data used in computer operations
softwood softwoods	SOFTWOOD n pl. -S the soft wood of various trees
softy	SOFTY n pl. SOFTIES a sentimental person
sogged	SOGGED adj soggy
soggy soggily soggiest soggier	SOGGY adj -GIER, -GIEST heavy with moisture SOGGILY adv
soigne	SOIGNE adj carefully done
soignee	SOIGNEE adj soigne
soil soils soiling soiled	SOIL v -ED, -ING, -S to make dirty
soilage soilages	SOILAGE n pl. -S green crops for feeding animals
soilless	SOILLESS adj carried on without soil (finely divided rock mixed with organic matter)
soilure soilures	SOILURE n pl. -S a stain or smudge
soiree soirees	SOIREE n pl. -S an evening party
soja sojas	SOJA n pl. -S the soybean
sojourn sojourns sojourning sojourned	SOJOURN v -ED, -ING, -S to stay temporarily
soke sokes	SOKE n pl. -S a feudal right to administer justice within a certain territory
sokeman sokemen	SOKEMAN n pl. -MEN socman
sokol sokols	SOKOL n pl. -S an international group promoting physical fitness
sol sols	SOL n pl. -S the fifth tone of the diatonic musical scale
sola	SOLA a pl. of solum
solace solaces solacing solaced	SOLACE v -LACED, -LACING, -LACES to console
solacer solacers	SOLACER n pl. -S one that solaces
solan solans	SOLAN n pl. -S a gannet
soland solands	SOLAND n pl. -S solan
solander solanders	SOLANDER n pl. -S a protective box for library materials
solanin solanins	SOLANIN n pl. -S solanine
solanine solanines	SOLANINE n pl. -S a poisonous alkaloid
solano solanos	SOLANO n pl. -NOS a strong, hot wind
solanum solanums	SOLANUM n pl. -S any of a genus of herbs and shrubs
solar	SOLAR adj pertaining to the sun
solaria	SOLARIA a pl. of solarium
solarise solarises solarising solarised	SOLARISE v -ISED, -ISING, -ISES to solarize
solarism solarisms	SOLARISM n pl. -S an interpretation of folk tales as concepts of the nature of the sun
solarium solariums	SOLARIUM n pl. -IA or -IUMS a room exposed to the sun
solarize solarizes solarizing solarized	SOLARIZE v -IZED, -IZING, -IZES to expose to sunlight
solate solates solating solated	SOLATE v -ATED, -ATING, -ATES to change to a fluid colloidal system
solation solations	SOLATION n pl. -S the act of solating
solatium solatia	SOLATIUM n pl. -TIA a compensation given for damage to the feelings
sold	SOLD past tense of sell
soldan soldans	SOLDAN n pl. -S a Muslim ruler
solder solders soldering soldered	SOLDER v -ED, -ING, -S to join closely together
solderer solderers	SOLDERER n pl. -S one that solders
soldi	SOLDI pl. of soldo
soldier soldiers soldiering soldiered	SOLDIER v -ED, -ING, -S to perform military service
soldiery soldieries	SOLDIERY n pl. -DIERIES the military profession
soldo	SOLDO n pl. -DI a former coin of Italy
sole soles soling soled	SOLE v SOLED, SOLING, SOLES to furnish with a sole (the bottom surface of a shoe or boot)
solecise solecises solecising solecised	SOLECISE v -CISED, -CISING, -CISES to solecize
solecism solecisms	SOLECISM n pl. -S an ungrammatical combination of words in a sentence
solecist solecists	SOLECIST n pl. -S one who solecizes
solecize solecizes solecizing solecized	SOLECIZE v -CIZED, -CIZING, -CIZES to use solecisms
soled	SOLED past tense of sole
solei	SOLEI pl. of soleus
soleless	SOLELESS adj having no sole
solely	SOLELY adv singly
solemn solemnly solemnest solemner	SOLEMN adj -EMNER, -EMNEST serious SOLEMNLY adv
soleness solenesses	SOLENESS n pl. -ES the state of being the only one
solenoid solenoids	SOLENOID n pl. -S a type of electric coil
soleret solerets	SOLERET n pl. -S solleret
soleus	SOLEUS n pl. -LEI a leg muscle
solfege solfeges	SOLFEGE n pl. -S a type of singing exercise
solfeggi	SOLFEGGI n/pl solfeges
solgel	SOLGEL adj involving some changes in the state of a colloidal system
soli	SOLI a pl. of solo
solicit solicits soliciting solicited	SOLICIT v -ED, -ING, -S to ask for earnestly
solid solidest solider	SOLID adj -IDER, -IDEST having definite shape and volume
solid solids	SOLID n pl. -S a solid substance
solidago solidagos	SOLIDAGO n pl. -GOS a flowering plant
solidary	SOLIDARY adj united
solidi	SOLIDI pl. of solidus
solidify solidifies solidifying solidified	SOLIDIFY v -FIED, -FYING, -FIES to make solid
solidity solidities	SOLIDITY n pl. -TIES the quality or state of being solid
solidly	SOLIDLY adv in a solid manner
solidus	SOLIDUS n pl. -DI a coin of ancient Rome
soling	SOLING present participle of sole
solion solions	SOLION n pl. -S an electronic detecting and amplifying device
soliquid soliquids	SOLIQUID n pl. -S a fluid colloidal system
solitary solitaries	SOLITARY n pl. -TARIES one who lives alone
soliton solitons	SOLITON n pl. -S a solitary wave in physics
solitude solitudes	SOLITUDE n pl. -S the state of being alone
solleret sollerets	SOLLERET n pl. -S a sabaton
solo soloing soloed	SOLO v -ED, -ING, -S to perform alone
solo solos	SOLO n pl. -LOS or -LI a musical composition for a single voice or instrument
soloist soloists	SOLOIST n pl. -S one that performs a solo
solon solons	SOLON n pl. -S a wise lawgiver
solonets solonetses	SOLONETS n pl. -ES solonetz
solonetz solonetzes	SOLONETZ n pl. -ES a type of soil
solstice solstices	SOLSTICE n pl. -S the time of the year when the sun is at its greatest distance from the celestial equator
soluble solubles	SOLUBLE n pl. -S something that is soluble (capable of being dissolved)
solubly	SOLUBLY adv in a soluble manner
solum solums	SOLUM n pl. -LA or -LUMS a soil layer
solus	SOLUS adj alone
solute solutes	SOLUTE n pl. -S a dissolved substance
solution solutions	SOLUTION n pl. -S a homogeneous liquid mixture
solvable	SOLVABLE adj capable of being solved
solvate solvates solvating solvated	SOLVATE v -VATED, -VATING, -VATES to convert into a type of ion
solve solves solving solved	SOLVE v SOLVED, SOLVING, SOLVES to find the answer or explanation for
solvency solvencies	SOLVENCY n pl. -CIES the ability to pay all debts
solvent solvents	SOLVENT n pl. -S a substance capable of dissolving others
solver solvers	SOLVER n pl. -S one that solves
solving	SOLVING present participle of solve
soma somatic somas somata	SOMA n pl. -MATA or -MAS the body of an organism SOMATIC adj
somber somberly	SOMBER adj gloomy SOMBERLY adv
sombre sombrely	SOMBRE adj somber SOMBRELY adv
sombrero sombreros	SOMBRERO n pl. -ROS a broad-brimmed hat
sombrous	SOMBROUS adj somber
some	SOME adj being an unspecified number or part
somebody somebodies	SOMEBODY n pl. -BODIES an important person
someday	SOMEDAY adv at some future time
somedeal	SOMEDEAL adv to some degree
somehow	SOMEHOW adv by some means
someone someones	SOMEONE n pl. -S a somebody
somerset somersets somersetting somersetted somerseting somerseted	SOMERSET v -SETED, -SETING, -SETS or -SETTED, -SETTING, -SETS to roll the body in a complete circle, head over heels
sometime	SOMETIME adv at some future time
someway	SOMEWAY adv somehow
someways	SOMEWAYS adv someway
somewhat somewhats	SOMEWHAT n pl. -S an unspecified number or part
somewhen	SOMEWHEN adv sometime
somewise	SOMEWISE adv somehow
somite somitic somital somites	SOMITE n pl. -S a longitudinal segment of the body of some animals SOMITAL, SOMITIC adj
son sons	SON n pl. -S a male child
sonance sonances	SONANCE n pl. -S sound
sonant sonantic sonantal sonants	SONANT n pl. -S a sound uttered with vibration of the vocal cords SONANTAL, SONANTIC adj
sonar sonars	SONAR n pl. -S an underwater locating device
sonarman sonarmen	SONARMAN n pl. -MEN a person who operates sonar equipment
sonata sonatas	SONATA n pl. -S a type of musical composition
sonatina sonatine sonatinas	SONATINA n pl. -TINAS or -TINE a short sonata
sonde sondes	SONDE n pl. -S a device for observing atmospheric phenomena
sonder sonders	SONDER n pl. -S a class of small yachts
sone sones	SONE n pl. -S a unit of loudness
song songs	SONG n pl. -S a musical composition written or adapted for singing
songbird songbirds	SONGBIRD n pl. -S a bird that utters a musical call
songbook songbooks	SONGBOOK n pl. -S a book of songs
songfest songfests	SONGFEST n pl. -S an informal gathering for group singing
songful	SONGFUL adj melodious
songless	SONGLESS adj incapable of singing
songlike	SONGLIKE adj resembling a song
songster songsters	SONGSTER n pl. -S a singer
sonhood sonhoods	SONHOOD n pl. -S the state of being a son
sonic	SONIC adj pertaining to sound
sonicate sonicates sonicating sonicated	SONICATE v -CATED, -CATING, -CATES to disrupt with sound waves
sonics	SONICS n/pl the science dealing with the practical applications of sound
sonless	SONLESS adj having no son
sonlike	SONLIKE adj resembling a son
sonly	SONLY adj pertaining to a son
sonnet sonnets sonnetting sonnetted sonneting sonneted	SONNET v -NETED, -NETING, -NETS or -NETTED, -NETTING, -NETS to compose a sonnet (a type of poem)
sonny sonnies	SONNY n pl. -NIES a small boy
sonobuoy sonobuoys	SONOBUOY n pl. -BUOYS a buoy that detects and transmits underwater sounds
sonogram sonograms	SONOGRAM n pl. -S an image produced by ultrasound
sonorant sonorants	SONORANT n pl. -S a type of voiced sound
sonority sonorities	SONORITY n pl. -TIES the quality or state of being sonorous
sonorous	SONOROUS adj characterized by a full and loud sound
sonovox sonovoxes	SONOVOX n pl. -ES a sound effects device
sonship sonships	SONSHIP n pl. -S the state of being a son
sonsie sonsiest sonsier	SONSIE adj -SIER, -SIEST sonsy
sonsy	SONSY adj -SIER, -SIEST comely
soochong soochongs	SOOCHONG n pl. -S souchong
sooey	SOOEY interj -- used in calling pigs
sook sooks	SOOK n pl. -S souk
soon soonest sooner	SOON adv SOONER, SOONEST in the near future
sooner sooners	SOONER n pl. -S one who settles on government land before it is officially opened for settlement
soot soots sooting sooted	SOOT v -ED, -ING, -S to cover with soot (a black substance produced by combustion)
sooth soothest soother	SOOTH adj SOOTHER, SOOTHEST true
sooth sooths	SOOTH n pl. -S truth
soothe soothes soothing	SOOTHE v SOOTHED, SOOTHING, SOOTHES to restore to a quiet or normal state
soother soothers	SOOTHER n pl. -S one that soothes
soothly	SOOTHLY adv in truth
soothsay soothsays soothsaying soothsaid	SOOTHSAY v -SAID, -SAYING, -SAYS to predict
sooty sootily sootiest sootier	SOOTY adj SOOTIER, SOOTIEST covered with soot SOOTILY adv
sop sops sopping sopped	SOP v SOPPED, SOPPING, SOPS to dip or soak in a liquid
soph sophs	SOPH n pl. -S a sophomore
sophies	SOPHIES pl. of sophy
sophism sophisms	SOPHISM n pl. -S a plausible but fallacious argument
sophist sophists	SOPHIST n pl. -S one that uses sophisms
sophy	SOPHY n pl. -PHIES a ruler of Persia
sopite sopites sopiting sopited	SOPITE v -PITED, -PITING, -PITES to put to sleep
sopor sopors	SOPOR n pl. -S an abnormally deep sleep
sopped	SOPPED past tense of sop
sopping	SOPPING adj very wet
soppy soppiest soppier	SOPPY adj -PIER, -PIEST very wet
soprano soprani sopranos	SOPRANO n pl. -NOS or -NI the highest singing voice
sora soras	SORA n pl. -S a marsh bird
sorb sorbable sorbs sorbing sorbed	SORB v -ED, -ING, -S to take up and hold by absorption or adsorption SORBABLE adj
sorbate sorbates	SORBATE n pl. -S a sorbed substance
sorbent sorbents	SORBENT n pl. -S a substance that sorbs
sorbet sorbets	SORBET n pl. -S sherbet
sorbic	SORBIC adj pertaining to a type of fruit
sorbitol sorbitols	SORBITOL n pl. -S a chemical compound
sorbose sorboses	SORBOSE n pl. -S a type of sugar
sorcerer sorcerers	SORCERER n pl. -S one who practices sorcery
sorcery sorceries	SORCERY n pl. -CERIES alleged use of supernatural powers
sord sords	SORD n pl. -S a flight of mallards
sordid sordidly	SORDID adj filthy SORDIDLY adv
sordine sordines	SORDINE n pl. -S a device used to muffle the tone of a musical instrument
sordino sordini	SORDINO n pl. -NI sordine
sordor sordors	SORDOR n pl. -S a sordid state
sore sores	SORE n pl. -S a sore area on the body
sore sorest sorer	SORE adj SORER, SOREST painfully sensitive to the touch
sorehead soreheads	SOREHEAD n pl. -S a person who is easily angered or offended
sorel sorels	SOREL n pl. -S sorrel
sorely	SORELY adv in a sore manner
soreness sorenesses	SORENESS n pl. -ES the quality or state of being sore
sorer	SORER comparative of sore
sorest	SOREST superlative of sore
sorgho sorghos	SORGHO n pl. -GHOS sorgo
sorghum sorghums	SORGHUM n pl. -S a cereal grass
sorgo sorgos	SORGO n pl. -GOS a variety of sorghum
sori	SORI pl. of sorus
soricine	SORICINE adj belonging to the shrew family of mammals
soring sorings	SORING n pl. -S the practice of making a horse's front feet sore to force high stepping
sorites soritic	SORITES n pl. SORITES a type of argument used in logic SORITIC adj
sorn sorns sorning sorned	SORN v -ED, -ING, -S to force oneself on others for food and lodging
sorner sorners	SORNER n pl. -S one that sorns
soroche soroches	SOROCHE n pl. -S mountain sickness
sororal	SORORAL adj sisterly
sororate sororates	SORORATE n pl. -S the marriage of a man usually with his deceased wife's sister
sorority sororities	SORORITY n pl. -TIES a social club for women
sorosis sorosises soroses	SOROSIS n pl. -ROSES or -ROSISES a women's club or society
sorption sorptive sorptions	SORPTION n pl. -S the act or process of sorbing SORPTIVE adj
sorrel sorrels	SORREL n pl. -S a reddish brown color
sorrier	SORRIER comparative of sorry
sorriest	SORRIEST superlative of sorry
sorrily	SORRILY adv in a sorry manner
sorrow sorrows sorrowing sorrowed	SORROW v -ED, -ING, -S to grieve
sorrower sorrowers	SORROWER n pl. -S one that sorrows
sorry	SORRY adj -RIER, -RIEST feeling grief or penitence
sort sortably sortable sorts sorting sorted	SORT v -ED, -ING, -S to arrange according to kind, class, or size SORTABLE adj SORTABLY adv
sorter sorters	SORTER n pl. -S one that sorts
sortie sorties sortieing sortied	SORTIE v -TIED, -TIEING, -TIES to attack suddenly from a defensive position
sorus	SORUS n pl. -RI a cluster of plant reproductive bodies
sot sots	SOT n pl. -S an habitual drunkard
soth soths	SOTH n pl. -S sooth
sotol sotols	SOTOL n pl. -S a flowering plant
sotted	SOTTED adj besotted
sottish	SOTTISH adj resembling a sot
sou sous	SOU n pl. -S a former French coin
souari souaris	SOUARI n pl. -S a tropical tree
soubise soubises	SOUBISE n pl. -S a sauce of onions and butter
soucar soucars	SOUCAR n pl. -S a Hindu banker
souchong souchongs	SOUCHONG n pl. -S a Chinese tea
soudan soudans	SOUDAN n pl. -S soldan
souffle souffles	SOUFFLE n pl. -S a light, baked dish
souffled	SOUFFLED adj made puffy by beating and baking
sough soughs soughing soughed	SOUGH v -ED, -ING, -S to make a moaning or sighing sound
sought	SOUGHT past tense of seek
souk souks	SOUK n pl. -S a marketplace in northern Africa and the Middle East
soul soullike soulless souled souls	SOUL n pl. -S the spiritual aspect of human beings SOULED, SOULLESS, SOULLIKE adj
soulful	SOULFUL adj full of emotion
sound soundest sounder	SOUND adj SOUNDER, SOUNDEST being in good health or condition
sound sounds sounding sounded	SOUND v -ED, -ING, -S to make a sound (something that stimulates the auditory receptors)
soundbox soundboxes	SOUNDBOX n pl. -ES a resonant cavity in a musical instrument
sounder sounders	SOUNDER n pl. -S one that sounds
sounding soundings	SOUNDING n pl. -S a sampling or test of opinions
soundly	SOUNDLY adv in a sound manner
soundman soundmen	SOUNDMAN n pl. -MEN a person who controls the quality of sound being recorded
soup soups souping souped	SOUP v -ED, -ING, -S to increase the power or efficiency of
