# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-Thanks	17	13
-that	10	9
-That	55	33
-the-visp	1	1
-the-wisp	6	4
-the	12	9
-The	44	29
-their	2	2
-then	1	1
-Then	8	7
-theory	2	1
-there	4	4
-There	23	20
-These	2	2
-they	1	1
-They	19	14
-Thin	2	1
-thing	1	1
-think	1	1
-Think	1	1
-Third	1	1
-thirty	1	1
-this	2	2
-This	21	15
-Thorn	2	1
-Those	2	2
-thou	1	1
-thought	1	1
-thread-count	2	2
-thread	2	2
-threat	1	1
-three	2	2
-Three	1	1
-THX	1	1
-Tiff	1	1
-Tiffany	1	1
-time	11	11
-timers	1	1
-times-larger-th	1	1
-to-	130	78
-to-know-you	2	2
-to-life	6	5
-to-nothing	1	1
-to-one	2	2
-to	15	15
-To	9	7
-Toby	1	1
-today	1	1
-together	1	1
-Tom	3	2
-Tomboy	1	1
-ton-rated	1	1
-ton-truck	1	1
-ton	19	19
-Tonight	1	1
-tons	1	1
-Too	1	1
-took	2	2
-Took	1	1
-tootin	6	5
-Tootin	1	1
-top	1	1
-topping	1	1
-TORTURED	1	1
-toss	1	1
-Total	1	1
-totally	1	1
-Touchdown	1	1
-tough	1	1
-track	15	13
-Track	1	1
-tract	2	2
-tragedy	1	1
-trap	1	1
-trapped	1	1
-treat	1	1
-Tr�s	1	1
-trillion-mile	3	3
-trust	1	1
-Trust	1	1
-Try	2	2
-Tu	1	1
-tub	1	1
-Tully--	1	1
-Tully	1	1
-Turn	2	2
-Twins	1	1
-Twitch	1	1
-Two	3	3
-Uh-huh	1	1
-Uh-oh	1	1
-Uh	10	4
-Uhh	1	1
-Um	1	1
-under	1	1
-Under	1	1
-Unimportant	1	1
-units	1	1
-UO	1	1
-up	9	2
-Up	4	4
-UP	1	1
-upstairs	1	1
-Use	1	1
-valve	2	2
-verbal	1	1
-very	1	1
-Very	3	3
-Victor	1	1
-Victory	1	1
-Vietnam	1	1
-Vietnamese	1	1
-vis	1	1
-Vodka	1	1
